"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"AI427809",0.695307802458619,3.90405880557572,20.8606595065177,0.0003913216748324,0.00478338862018421,"AI427809",3.54586833567593,"ENSMUSG00000086712.2",TRUE,"ENSMUSG00000086712",NA,NA
"Ssr2",0.343876513111675,7.17032358370602,20.8515508540234,0.000392087362242989,0.00478659682961596,"Ssr2",3.54535317040788,"ENSMUSG00000041355.13",TRUE,"ENSMUSG00000041355","ENSG00000163479","SSR2"
"Garem1",0.86074724374533,3.18228254541508,20.8503776501779,0.000392186107589108,0.00478659682961596,"Garem1",3.54528680159584,"ENSMUSG00000042680.8",FALSE,"ENSMUSG00000042680","ENSG00000141441","GAREM1"
"Magi3",-0.566769198693771,4.95160401350078,20.8439072598781,0.000392731211822696,0.00478793316280597,"Magi3",-3.54492070641627,"ENSMUSG00000052539.15",TRUE,"ENSMUSG00000052539","ENSG00000081026","MAGI3"
"Grik3",-2.69221215668031,0.874149955385027,20.8397305214055,0.000393083543556845,0.00478793316280597,"Grik3",-3.54468433091367,"ENSMUSG00000001985.9",FALSE,"ENSMUSG00000001985","ENSG00000163873","GRIK3"
"Tril",-0.431149322529871,5.73925466777839,20.838364987764,0.000393198812213079,0.00478793316280597,"Tril",-3.54460704141181,"ENSMUSG00000043496.7",TRUE,"ENSMUSG00000043496","ENSG00000255690","TRIL"
"Mcfd2",0.341390583455007,6.86791636498481,20.8164731068362,0.000395052036670643,0.00480048238824597,"Mcfd2",3.54336732211853,"ENSMUSG00000024150.12",TRUE,"ENSMUSG00000024150","ENSG00000180398","MCFD2"
"Unc93a",2.49384365488605,1.08235887012191,20.8157117157597,0.000395116669922336,0.00480048238824597,"Unc93a",3.54332418367135,"ENSMUSG00000067049.8",FALSE,"ENSMUSG00000067049","ENSG00000112494","UNC93A"
"Mpzl1",0.447045115056624,4.78325894424424,20.7678444222168,0.00039920433726595,0.0048462187599545,"Mpzl1",3.5406092402934,"ENSMUSG00000026566.15",TRUE,"ENSMUSG00000026566","ENSG00000197965","MPZL1"
"Atp8a1",-0.980065027029221,3.0872639510836,20.7483753294987,0.000400880682863357,0.00486285697908159,"Atp8a1",-3.539503349723,"ENSMUSG00000037685.15",TRUE,"ENSMUSG00000037685","ENSG00000124406","ATP8A1"
"Arhgef7",0.346501062630337,6.30572799681789,20.743664880633,0.000401287470154683,0.00486387556845575,"Arhgef7",3.53923564230052,"ENSMUSG00000031511.15",TRUE,"ENSMUSG00000031511","ENSG00000102606","ARHGEF7"
"Nfia",-0.380361625109236,7.12264942680729,20.7403231119768,0.000401576345430573,0.00486387556845575,"Nfia",-3.53904568688265,"ENSMUSG00000028565.18",TRUE,"ENSMUSG00000028565","ENSG00000162599","NFIA"
"Ifi30",0.394726971483017,5.47380514001982,20.7104346918234,0.000404170576628002,0.00489157129384712,"Ifi30",3.53734549873085,"ENSMUSG00000031838.8",TRUE,"ENSMUSG00000031838","ENSG00000216490","IFI30"
"B4galt6",0.609277822443733,4.04820069795091,20.6205588420296,0.000412087318697845,0.00497980594927951,"B4galt6",3.53221939060963,"ENSMUSG00000056124.5",TRUE,"ENSMUSG00000056124","ENSG00000118276","B4GALT6"
"Synpo2",0.562755387449997,5.46639591355525,20.5998273554167,0.000413938441729317,0.00499811914345664,"Synpo2",3.53103406019718,"ENSMUSG00000050315.14",FALSE,"ENSMUSG00000050315","ENSG00000172403","SYNPO2"
"Itpripl2",0.386122481150323,7.00060725331078,20.5940822938176,0.000414453095774925,0.00499811914345664,"Itpripl2",3.5307053911034,"ENSMUSG00000095115.2",TRUE,"ENSMUSG00000095115","ENSG00000205730","ITPRIPL2"
"Dgkk",2.16713566746216,0.552368739290044,20.5930502027615,0.000414545629769182,0.00499811914345664,"Dgkk",3.53064633734528,"ENSMUSG00000062393.13",FALSE,"ENSMUSG00000062393","ENSG00000274588","DGKK"
"Tmem88b",-2.24373870842331,0.510157645834329,20.5827848235172,0.000415467273367184,0.00500543640027146,"Tmem88b",-3.53005882974267,"ENSMUSG00000073680.2",TRUE,"ENSMUSG00000073680","ENSG00000205116","TMEM88B"
"A530053G22Rik",-7.07532272830267,-1.80439879177308,22.4472381370567,0.000416219363149331,0.00501070138695217,"A530053G22Rik",-3.52958030650942,"ENSMUSG00000046764.8",FALSE,"ENSMUSG00000046764",NA,NA
"Tmem176b",0.418443569436045,8.05930835961696,20.5683661337988,0.000416765753395418,0.00501348394572416,"Tmem176b",3.52923316745581,"ENSMUSG00000029810.15",TRUE,"ENSMUSG00000029810","ENSG00000106565","TMEM176B"
"Sec22b",0.330007621149728,6.7540946167016,20.5476108702821,0.000418643001716775,0.00503225975533021,"Sec22b",3.52804372213504,"ENSMUSG00000027879.9",TRUE,"ENSMUSG00000027879","ENSG00000265808","SEC22B"
"Sos2",-0.39436936149671,5.37935006598033,20.4905008949272,0.000423858340969427,0.00508435063755378,"Sos2",-3.52476517864617,"ENSMUSG00000034801.13",FALSE,"ENSMUSG00000034801","ENSG00000100485","SOS2"
"Spata33",-1.88149028501737,1.434276629577,20.489660155402,0.000423935669081073,0.00508435063755378,"Spata33",-3.52471685150929,"ENSMUSG00000048478.7",FALSE,"ENSMUSG00000048478",NA,NA
"Pfkfb3",0.431611130204458,4.96855763992751,20.461482875989,0.000426536631038987,0.0051097898001071,"Pfkfb3",3.52309612477027,"ENSMUSG00000026773.19",FALSE,"ENSMUSG00000026773","ENSG00000170525","PFKFB3"
"Pgf",-1.05795529642787,3.0680814570664,20.4597258450254,0.00042669941863436,0.0051097898001071,"Pgf",-3.52299499471828,"ENSMUSG00000004791.7",TRUE,"ENSMUSG00000004791","ENSG00000119630","PGF"
"Adh7",-0.631162367483301,3.96106353239399,20.4475339442288,0.000427830940675315,0.00511948491313735,"Adh7",-3.52229304257848,"ENSMUSG00000055301.8",FALSE,"ENSMUSG00000055301","ENSG00000196344","ADH7"
"Tmprss2",-1.41982405110502,1.75463697591399,20.4286638725168,0.000429589006150557,0.00513665711640023,"Tmprss2",-3.52120583873811,"ENSMUSG00000000385.8",TRUE,"ENSMUSG00000000385","ENSG00000184012","TMPRSS2"
"Cep85",0.594606363887377,3.92713854212258,20.3885973797783,0.000433349236993061,0.00517772570691258,"Cep85",3.51889435361726,"ENSMUSG00000037443.13",TRUE,"ENSMUSG00000037443","ENSG00000130695","CEP85"
"Aldh6a1",-0.489729631715111,5.03422024324421,20.3535907870517,0.000436665315263515,0.00521342981128805,"Aldh6a1",-3.51687138324462,"ENSMUSG00000021238.11",TRUE,"ENSMUSG00000021238","ENSG00000119711","ALDH6A1"
"Mpdz",-0.428844230880638,6.87912603509873,20.3496078990292,0.000437044431764473,0.00521404170919011,"Mpdz",-3.51664101785847,"ENSMUSG00000028402.18",TRUE,"ENSMUSG00000028402","ENSG00000107186","MPDZ"
"Kctd12b",-0.637784012678236,3.74018969344063,20.3449869127604,0.000437484756531506,0.00521538237115483,"Kctd12b",-3.51637369407559,"ENSMUSG00000041633.14",TRUE,"ENSMUSG00000041633",NA,NA
"Ptpre",0.883052567589386,2.73008120309372,20.3387430391415,0.000438080526185336,0.00521857274001902,"Ptpre",3.51601239832147,"ENSMUSG00000041836.10",TRUE,"ENSMUSG00000041836","ENSG00000132334","PTPRE"
"Porcn",0.527170542497015,3.90224456613967,20.3212606382796,0.000439753562257094,0.00523364940491955,"Porcn",3.51500025726796,"ENSMUSG00000031169.13",FALSE,"ENSMUSG00000031169","ENSG00000102312","PORCN"
"Scap",0.391400140361118,5.74602937081226,20.3186465121449,0.000440004354799562,0.00523364940491955,"Scap",3.51484884453553,"ENSMUSG00000032485.14",TRUE,"ENSMUSG00000032485","ENSG00000114650","SCAP"
"Bmp5",-0.628709160570212,4.85955284496384,20.3027919776139,0.000441528893928909,0.00524785799712365,"Bmp5",-3.51393015348757,"ENSMUSG00000032179.7",TRUE,"ENSMUSG00000032179","ENSG00000112175","BMP5"
"Robo1",0.708876794122103,5.6339633739403,20.2882048640242,0.000442936878343382,0.00526066107266229,"Robo1",3.51308432486715,"ENSMUSG00000022883.11",FALSE,"ENSMUSG00000022883","ENSG00000169855","ROBO1"
"Flnb",-0.461354366947075,7.36291604652121,20.2725669866563,0.00044445196976578,0.00527471617551134,"Flnb",-3.51217695174486,"ENSMUSG00000025278.9",TRUE,"ENSMUSG00000025278","ENSG00000136068","FLNB"
